customer_id,first_name,last_name,gender,email,phone,city,state,country,loyalty_tier,signup_date,age_band,marketing_opt_in
1,Diya,Reddy,F,diya.reddy1@example.com,94949905957,Visakhapatnam,AP,IN,Gold,2024-02-20,18-24,False
2,Neha,Gupta,F,neha.gupta2@example.com,98074578746,Pune,MH,IN,Bronze,2025-02-11,25-34,True
3,Isha,Sharma,F,isha.sharma3@example.com,96794786080,Surat,GJ,IN,Gold,2024-11-14,18-24,True
4,Karthik,Sharma,M,karthik.sharma4@example.com,98448680547,Jaipur,RJ,IN,Silver,2024-09-15,35-44,True
5,Priya,Reddy,F,priya.reddy5@example.com,99038090091,Hyderabad,TS,IN,Silver,2025-03-19,25-34,True
6,Vihaan,Gupta,M,vihaan.gupta6@example.com,97147440578,Pune,MH,IN,Silver,2024-04-23,55+,True
7,Karthik,Kulkarni,M,karthik.kulkarni7@example.com,95226002301,Hyderabad,TS,IN,Bronze,2024-09-27,25-34,True
8,Sneha,Gupta,F,sneha.gupta8@example.com,94934367269,Visakhapatnam,AP,IN,Gold,2024-03-16,35-44,True
9,Sneha,Iyer,F,sneha.iyer9@example.com,98242879216,Pune,MH,IN,Bronze,2025-06-08,35-44,True
10,Vikram,Kulkarni,M,vikram.kulkarni10@example.com,91066260427,Chennai,TN,IN,Silver,2024-06-17,35-44,False
11,Aanya,Patel,F,aanya.patel11@example.com,95130241979,Visakhapatnam,AP,IN,Silver,2024-01-22,18-24,False
12,Rahul,Khan,M,rahul.khan12@example.com,96087124957,Chennai,TN,IN,Silver,2024-03-22,35-44,True
13,Isha,Gupta,F,isha.gupta13@example.com,93735550882,Lucknow,UP,IN,Bronze,2024-07-21,18-24,True
14,Ananya,Sharma,F,ananya.sharma14@example.com,93105455372,Bengaluru,KA,IN,Bronze,2024-09-12,25-34,True
15,Priya,Sharma,F,priya.sharma15@example.com,96013289370,New Delhi,DL,IN,Silver,2025-08-04,25-34,False
16,Suresh,Kulkarni,M,suresh.kulkarni16@example.com,91204408658,Chennai,TN,IN,Bronze,2025-01-22,35-44,True
17,Aarav,Das,M,aarav.das17@example.com,95509402975,Kochi,KL,IN,Bronze,2024-10-17,25-34,True
18,Vihaan,Iyer,M,vihaan.iyer18@example.com,96672543337,Bengaluru,KA,IN,Bronze,2025-02-10,18-24,True
19,Sneha,Singh,F,sneha.singh19@example.com,99177226215,Nagpur,MH,IN,Silver,2024-09-24,55+,False
20,Pooja,Khan,F,pooja.khan20@example.com,95044253518,Jaipur,RJ,IN,Bronze,2024-06-04,18-24,False
21,Rohit,Sharma,M,rohit.sharma21@example.com,92821270282,Hyderabad,TS,IN,Bronze,2025-04-17,18-24,False
22,Meera,Singh,F,meera.singh22@example.com,97475166602,Bengaluru,KA,IN,Bronze,2024-12-04,35-44,True
23,Meera,Sharma,F,meera.sharma23@example.com,91759998890,Kolkata,WB,IN,Bronze,2025-04-04,25-34,True
24,Kunal,Das,M,kunal.das24@example.com,91930626709,Surat,GJ,IN,Silver,2024-01-25,18-24,False
